"Excluded","Level","Term","est","se","ci.lb","ci.ub","QE","QM"
"10.1016/j.gloplacha.2012.05.001","study","intrcpt",-4.12060552617348,4.02859853224718,-12.016658649378,3.775447597031,13554.9639344356,102.904600747007
"10.1016/j.gloplacha.2012.05.001","study","dt",-7.93638417348334,1.21941768342915,-10.3264428330045,-5.5463255139622,13554.9639344356,102.904600747007
"10.1016/j.gloplacha.2012.05.001","study","dph",66.4911395281191,9.16044925291505,48.5366589924056,84.4456200638326,13554.9639344356,102.904600747007
"10.1016/j.gloplacha.2012.05.001","study","dt:dph",-5.60199238220282,3.67549906077472,-12.8059705413213,1.60198577691563,13554.9639344356,102.904600747007
"10.1016/j.jembe.2010.10.026","study","intrcpt",-2.77653962002951,4.10673705158063,-10.8257442411275,5.27266500106853,13798.3520918656,107.399351740164
"10.1016/j.jembe.2010.10.026","study","dt",-8.50599495113504,1.23973875939979,-10.9358829195586,-6.07610698271145,13798.3520918656,107.399351740164
"10.1016/j.jembe.2010.10.026","study","dph",69.2816789138647,9.25612938392169,51.1396653213782,87.4236925063513,13798.3520918656,107.399351740164
"10.1016/j.jembe.2010.10.026","study","dt:dph",-6.73581978180797,3.70254693728425,-13.9928117788851,0.521172215269171,13798.3520918656,107.399351740164
"10.1016/j.jembe.2010.11.009","study","intrcpt",-4.23538378275066,4.03772838580307,-12.1493314189247,3.67856385342335,13830.4971583929,102.03155619542
"10.1016/j.jembe.2010.11.009","study","dt",-7.79523736579235,1.2075383668112,-10.1620125647423,-5.4284621668424,13830.4971583929,102.03155619542
"10.1016/j.jembe.2010.11.009","study","dph",66.0198526435555,9.14989092891422,48.0860664228836,83.9536388642273,13830.4971583929,102.03155619542
"10.1016/j.jembe.2010.11.009","study","dt:dph",-5.36920712697642,3.66397395256723,-12.5505960740082,1.81218182005534,13830.4971583929,102.03155619542
"10.1016/j.jembe.2013.12.013","study","intrcpt",-3.94933075765489,4.05707661014329,-11.9012009135357,4.00253939822597,13826.8866666397,102.151592579604
"10.1016/j.jembe.2013.12.013","study","dt",-7.91648351173606,1.21953024106512,-10.3067627842237,-5.52620423924843,13826.8866666397,102.151592579604
"10.1016/j.jembe.2013.12.013","study","dph",66.2396418525615,9.22588910516554,48.1568992064371,84.322384498686,13826.8866666397,102.151592579604
"10.1016/j.jembe.2013.12.013","study","dt:dph",-5.21316727644781,3.69746502198169,-12.4601987195319,2.03386416663629,13826.8866666397,102.151592579604
"10.1016/j.jembe.2016.09.008-LOC-A","study","intrcpt",-3.8423016704961,4.03762769805706,-11.7560519586879,4.07144861769573,13844.7229718017,103.291930212316
"10.1016/j.jembe.2016.09.008-LOC-A","study","dt",-7.85570742068188,1.20793425790868,-10.2232585661829,-5.48815627518087,13844.7229718017,103.291930212316
