modifications;Authors,Study,Year,Species types,subfamily,Family,Order,Location,Ocean,Climate,Life stages,Levels pCO2,dpCO2,pH,pHt,dpHt,At,DIC,Irradiance (umol photons m-2 s-1),Temperature,Salinity,Duration (days),n,Calcification (micro mol CaCO3 cm-2 h-1),Calcif SD,Mean ln effect,Variance,Pooled SD,inverse G,Hedges G
;Page & Diaz-Pulido,50,2020,Sporolithon durum,Sporolithoideae,Sporolithaceae,Sporolithales,Australia,Pacific,Tropical,Juvenile,1040,596,,7.7,-0.3,2373,2230,30,27,36,77,11,1.142732995,0.09295499,0.16136013,0.001147605,0.084619581,-2.012344264,2.012344264
"name corrected (as ""Arthrocardia"");Roleda et al",53,2015,Arthrocardia corymbosa,Corallinoideae,Corallinaceae,Corallinales,New Zealand,Pacific,Cool Temperate,Juvenile,647.5,229,7.665,7.665,-0.375,,,24,10.8,34.3,112,6,0.00804,0.006515643,-0.442099241,0.130624406,0.005582473,0.800720459,-0.800720459
"name corrected (as ""Arthrocardia"");Roleda et al",53,2015,Arthrocardia corymbosa,Corallinoideae,Corallinaceae,Corallinales,New Zealand,Pacific,Cool Temperate,Juvenile,1685,555,7.67,7.67,-0.35,,,24,10.8,34.3,112,6,0.00788,0.004237617,-0.066281924,0.105185162,0.004593365,0.117560879,-0.117560879
;Russell et al,56,2011,Lithophyllum sp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Indian,Warm temperate,Juvenile,933,407,,7.96,-0.15,,,34,14,38,76,7,2,1.3,-1.816452082,0.061952943,1.3,7.923076923,-7.923076923
;Russell et al,56,2011,Lithophyllum sp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Indian,Warm temperate,Juvenile,933,407,,7.96,-0.15,,,17,14,38,76,7,2.7,2.2,-1.021651248,0.098503312,1.772004515,2.70879671,-2.70879671
;Russell et al,56,2011,Lithophyllum sp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Indian,Warm temperate,Juvenile,933,407,,7.96,-0.15,,,17,14,38,76,7,1.15,0.14,-0.448024723,0.065609266,0.854283325,0.760871693,-0.760871693
;James et al. ,28,2014,CCA,,,,New Zealand,Pacific,Cool Temperate,Juvenile,1230,837,7.6,7.6,-0.45,,,20,11.6,35,42,12,111.25,92.59543617,-1.031511687,0.115712188,195.376796,1.0279624,-1.0279624
;Russell et al,55,2009,Lithophyllum sp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Indian,Warm temperate,Juvenile,483.3,142.35,,7.96,-0.15,,,34,17,38,76,5,0.013,0.001,-0.693147181,0.002366864,0.001581139,8.221921916,-8.221921916
;Russell et al,55,2009,Lithophyllum sp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Indian,Warm temperate,Juvenile,495.73,137.06,,7.96,-0.15,,,34,17,38,76,5,0.02,0.002,-0.500775288,0.004938476,0.003162278,4.110960958,-4.110960958
;Russell et al,56,2011,Lithophyllum sp.,Lithophylloideae,Lithophyllaceae,Corallinales,Australia,Indian,Warm temperate,Juvenile,933,407,,7.96,-0.15,,,17,14,38,76,7,9.685,1.8,-0.573225825,0.007068794,1.955760722,3.832779704,-3.832779704
